"month","day","week","observer","transect","lat","lon","elevation_m","time_beg","duration_s","temp_avg","wind_avg","air_quality","weather","family","genus","species","number"
5,24,1,"Freya","CHP",48.47404,-123.3768,105,12:44:00,960,17.5,2.5,1,"sunny","Papilionidae","Papilio","eurymedon",1
5,24,1,"Freya","CHP",48.47404,-123.3768,105,12:44:00,960,17.5,2.5,1,"sunny","Papilionidae","Papilio","rutulus",1
5,24,1,"Freya","CHP",48.47404,-123.3768,105,12:44:00,960,17.5,2.5,1,"sunny","Lycaenidae","Celestrina","echo",1
5,24,1,"Freya","BHT",48.4099,-123.3644,40,15:37:00,720,17,1,1,"sunny",NA,NA,NA,0
5,27,1,"Freya","ABR",49.4194,-129.5247,909,12:30:00,960,19,0.5,1,"sunny","Nymphalidae","Erebia","epipsodea",5
5,27,1,"Freya","ABR",49.4194,-129.5247,909,12:30:00,960,19,0.5,1,"sunny","Pieridae",NA,NA,2
5,27,1,"Freya","ABR",49.4194,-129.5247,909,12:30:00,960,19,0.5,1,"sunny","Lycaenidae","Icaricia","icaroides",7
5,27,1,"Freya","ABR",49.4194,-129.5247,909,12:30:00,960,19,0.5,1,"sunny","Nymphalidae","Euphydryas","anicia",1
5,27,1,"Freya","OHRb",49.4224,-120.2571,568,14:46:00,1320,22,0.5,1,"sunny","Nymphalidae","Euphydryas","anicia",33
5,27,1,"Freya","OHRb",49.4224,-120.2571,568,14:46:00,1320,22,0.5,1,"sunny","Nymphalidae","Limenitis","lorquini",2
5,27,1,"Freya","OHRb",49.4224,-120.2571,568,14:46:00,1320,22,0.5,1,"sunny","Pieridae","Anthocharis","julia",8
5,27,1,"Freya","OHRb",49.4224,-120.2571,568,14:46:00,1320,22,0.5,1,"sunny","Nymphalidae","Erebia","epipsodea",3
5,27,1,"Freya","OHRb",49.4224,-120.2571,568,14:46:00,1320,22,0.5,1,"sunny","Pieridae",NA,NA,2
5,27,1,"Freya","OHRb",49.4224,-120.2571,568,14:46:00,1320,22,0.5,1,"sunny","Lycaenidae",NA,NA,4
5,27,1,"Freya","OHRb",49.4224,-120.2571,568,14:46:00,1320,22,0.5,1,"sunny","Lycaenidae","Callophrys","polios",1
5,27,1,"Freya","OHRb",49.4224,-120.2571,568,14:46:00,1320,22,0.5,1,"sunny","Nymphalidae","Coenonnympha","california",2
5,28,1,"Freya","KWL",49.3013,-119.6279,571,13:11:00,720,30.5,0.5,1,"sunny","Lycaenidae",NA,NA,8
5,28,1,"Freya","KWL",49.3013,-119.6279,571,13:11:00,720,30.5,0.5,1,"sunny","Hesperiidae","Polites","sabuleti",1
5,28,1,"Freya","KWL",49.3013,-119.6279,571,13:11:00,720,30.5,0.5,1,"sunny","Lycaenidae","Icaricia","icaroides",2
5,28,1,"Freya","KWL",49.3013,-119.6279,571,13:11:00,720,30.5,0.5,1,"sunny","Nymphalidae","Coenonnympha","california",1
5,28,1,"Freya","RTT",49.0887,-119.5351,287,10:25:00,840,25,3,1,"sunny","Nymphalidae","Aglais","milberti",6
5,28,1,"Freya","RTT",49.0887,-119.5351,287,10:25:00,840,25,3,1,"sunny","Nymphalidae","Phyciodes","cocyta",6
5,28,1,"Freya","RTT",49.0887,-119.5351,287,10:25:00,840,25,3,1,"sunny","Lycaenidae",NA,NA,1
5,28,1,"Freya","RTT",49.0887,-119.5351,287,10:25:00,840,25,3,1,"sunny","Pieridae","Pieris","rapae",1
5,28,1,"Freya","RTT",49.0887,-119.5351,287,10:25:00,840,25,3,1,"sunny","Pieridae","Colias",NA,1
5,28,1,"Freya","OKF",49.3384,-119.5804,340,14:49:00,780,30,1.5,1,"sunny",NA,NA,NA,0
