"month","day","week","observer","transect","quadrat","location_m","side","num_units","floral_unit","unit_size","cover_pct","colour","family","genus","species","infraspecies","origin","nectar","area_cm_2","notes","lookup_helper"
5,24,1,"Phoebe","CHP",1,12,"L",4,"head","medium",1,"yellow","Asteraceae","Hypochaeris","radicata",NA,"Non-native","Y",NA,NA,"Hypochaeris radicata NA"
5,24,1,"Phoebe","CHP",1,12,"L",34,"flr","small",1,"purple","Amaryllidaceae","Allium","acuminatum",NA,"Native",NA,NA,NA,"Allium acuminatum NA"
5,24,1,"Phoebe","CHP",2,101,"L",3,"head","medium",1,"yellow","Asteraceae","Hypochaeris","radicata",NA,"Non-native","Y",NA,NA,"Hypochaeris radicata NA"
5,24,1,"Phoebe","CHP",2,101,"L",12,"flr","small",1,"white","Asparagaceae","Triteleia","hyacinthina",NA,"Native",NA,NA,NA,"Triteleia hyacinthina NA"
5,24,1,"Phoebe","CHP",3,267,"R",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,"NA NA NA"
5,24,1,"Phoebe","CHP",4,359,"L",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,"NA NA NA"
5,24,1,"Phoebe","CHP",5,417,"R",36,"flr","small",1,"white","Apiaceae","Osmorhiza","berteroi",NA,"Native",NA,NA,NA,"Osmorhiza berteroi NA"
5,24,1,"Phoebe","RBG",1,5,"L",7,"infl","small",1,"yellow","Fabaceae","Medicago","lupulina",NA,"Non-native",NA,NA,NA,"Medicago lupulina NA"
5,24,1,"Phoebe","RBG",2,115,"L",2,"flr","small",1,"purple","Geraniaceae","Geranium","dissectum",NA,"Non-native",NA,NA,NA,"Geranium dissectum NA"
5,24,1,"Phoebe","RBG",3,237,"L",18,"head","medium",2,"white","Fabaceae","Trifolium","repens",NA,"Non-native","Y",NA,NA,"Trifolium repens NA"
5,24,1,"Phoebe","RBG",4,378,"R",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,"NA NA NA"
5,24,1,"Phoebe","RBG",5,460,"R",2,"flr","medium",1,"yellow","Ranunculaceae","Ranunculus","repens",NA,"Non-native","Y",NA,NA,"Ranunculus repens NA"
5,24,1,"Phoebe","RBG",5,460,"R",1,"flr","small",1,"purple","Fabaceae","Vicia","sativa",NA,"Non-native",NA,NA,NA,"Vicia sativa NA"
5,24,1,"Phoebe","BHT",1,40,"L",6,"infl","small",1,"yellow","Apiaceae","Sanicula","crassicaulis",NA,"Native",NA,NA,NA,"Sanicula crassicaulis NA"
5,24,1,"Phoebe","BHT",2,184,"R",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,"NA NA NA"
5,24,1,"Phoebe","BHT",3,268,"R",3,"infl","medium",1,"yellow","Apiaceae","Lomatium","utriculatum",NA,"Native",NA,NA,NA,"Lomatium utriculatum NA"
5,24,1,"Phoebe","BHT",4,310,"R",110,"infl","medium",4,"yellow","Apiaceae","Lomatium","nudicaule",NA,"Native",NA,NA,NA,"Lomatium nudicaule NA"
5,24,1,"Phoebe","BHT",5,459,"L",45,"infl","medium",2,"yellow","Apiaceae","Lomatium","nudicaule",NA,"Native",NA,NA,NA,"Lomatium nudicaule NA"
5,24,1,"Phoebe","BHT",5,459,"L",70,"flr","small",2,"yellow","Orobanchaceae","Rhinanthus","minor",NA,"Native",NA,NA,NA,"Rhinanthus minor NA"
5,24,1,"Phoebe","HRP",1,77,"R",12,"flr","small",1,"white","Primulaceae","Lysimachia","latifolia",NA,"Native",NA,NA,NA,"Lysimachia latifolia NA"
5,24,1,"Phoebe","HRP",2,107,"L",4,"flr","small",1,"white","Primulaceae","Lysimachia","latifolia",NA,"Native",NA,NA,NA,"Lysimachia latifolia NA"
5,24,1,"Phoebe","HRP",2,107,"L",2,"flr","medium",1,"white","Rosaceae","Rubus","ursinus",NA,"Native",NA,NA,NA,"Rubus ursinus NA"
5,24,1,"Phoebe","HRP",3,269,"R",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,"NA NA NA"
5,26,1,"Phoebe","MGT",1,30,"L",111,"flr","medium",2,"purple","Polemoniaceae","Phlox","diffusa",NA,"Native",NA,NA,NA,"Phlox diffusa NA"
5,26,1,"Phoebe","MGT",2,103,"L",4,"flr","medium",1,"white","Rosaceae","Fragaria","virginiana",NA,"Native",NA,NA,NA,"Fragaria virginiana NA"
5,26,1,"Phoebe","CCM",1,63,"L",101,"flr","small",5,"yellow","Ranunculaceae","Ranunculus","repens",NA,"Non-native","Y",NA,NA,"Ranunculus repens NA"
5,26,1,"Phoebe","CCM",2,127,"R",2,"flr","small",1,"yellow","Ranunculaceae","Ranunculus","repens",NA,"Non-native","Y",NA,NA,"Ranunculus repens NA"
5,26,1,"Phoebe","CCM",2,127,"R",55,"stm","medium",2,"yellow","Brassicaceae","Sisymbrium","officinale",NA,"Non-native","Y",NA,NA,"Sisymbrium officinale NA"
5,26,1,"Phoebe","CCM",2,127,"R",10,"infl","small",1,"blue","Boraginaceae","Myosotis","arvensis",NA,"Non-native","Y",NA,"? Maybe sylvatica?","Myosotis arvensis NA"
5,26,1,"Phoebe","CCM",2,127,"R",7,"flr","small",1,"purple","Geraniaceae","Geranium","dissectum",NA,"Non-native",NA,NA,NA,"Geranium dissectum NA"
5,26,1,"Phoebe","CCM",3,255,"L",12,"head","small",2,"white","Asteraceae","Leucanthemum","vulgare",NA,"Non-native","Y",NA,NA,"Leucanthemum vulgare NA"
5,26,1,"Phoebe","CCM",3,255,"L",8,"infl","small",1,"yellow","Fabaceae","Trifolium","dubium",NA,"Non-native",NA,NA,NA,"Trifolium dubium NA"
5,26,1,"Phoebe","CCM",3,255,"L",1,"flr","small",1,"purple","Geraniaceae","Geranium","dissectum",NA,"Non-native",NA,NA,NA,"Geranium dissectum NA"
5,26,1,"Phoebe","CCM",4,388,"R",203,"flr","small",5,"yellow","Ranunculaceae","Ranunculus","repens",NA,"Non-native","Y",NA,NA,"Ranunculus repens NA"
5,26,1,"Phoebe","CCM",5,472,"R",32,"flr","small",1,"yellow","Ranunculaceae","Ranunculus","repens",NA,"Non-native","Y",NA,NA,"Ranunculus repens NA"
5,26,1,"Phoebe","CCM",5,472,"R",17,"infl","small",1,"white","Brassicaceae","Lepidium","campestre",NA,"Non-native",NA,NA,NA,"Lepidium campestre NA"
5,27,1,"Phoebe","ABR",1,86,"R",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,"NA NA NA"
5,27,1,"Phoebe","ABR",2,170,"R",3,"infl","large",2,"purple","Fabaceae","Lupinus","sericeus",NA,"Native",NA,NA,NA,"Lupinus sericeus NA"
5,27,1,"Phoebe","ABR",3,212,"R",92,"infl","small",1,"yellow","Fabaceae","Medicago","lupulina",NA,"Non-native",NA,NA,NA,"Medicago lupulina NA"
5,27,1,"Phoebe","ABR",4,354,"R",1,"head","medium",1,"yellow","Asteraceae","Taraxacum",NA,NA,NA,"Y",NA,"Taxonomy","Taraxacum NA NA"
5,27,1,"Phoebe","ABR",5,481,"R",1,"infl","large",1,"purple","Fabaceae","Lupinus","sericeus",NA,"Native",NA,NA,NA,"Lupinus sericeus NA"
5,27,1,"Phoebe","ABR",5,481,"R",3,"infl","small",1,"yellow","Fabaceae","Medicago","lupulina",NA,"Non-native",NA,NA,NA,"Medicago lupulina NA"
5,27,1,"Phoebe","OHRb",1,3,"L",15,"flr","small",1,"yellow","Rosaceae","Potentilla","argentea",NA,"Non-native",NA,NA,NA,"Potentilla argentea NA"
5,27,1,"Phoebe","OHRb",2,200,"L",7,"flr","medium",1,"purple","Fabaceae","Vicia","americana",NA,"Native",NA,NA,NA,"Vicia americana NA"
5,27,1,"Phoebe","OHRb",3,244,"L",4,"flr","medium",1,"purple","Fabaceae","Vicia","americana",NA,"Native",NA,NA,NA,"Vicia americana NA"
5,27,1,"Phoebe","OHRb",3,244,"L",4,"flr","medium",1,"white","Rosaceae","Drymocallis","convallaria",NA,"Native",NA,NA,NA,"Drymocallis convallaria NA"
