month,day,week,observer,transect,lat,lon,elevation_m,time_beg,time_end,temp_beg,temp_end,air_quality,weather,wind_beg,wind_end,family,genus,species,number,,,,,,
5,24,1,Freya,CHP,48.47404,-123.3768,105,12:44,13:00,17,18,1,sunny,1,4,Papilionidae,Papilio,eurymedon,1,,,,Column 1,Column 2,Column 3
5,24,1,Freya,CHP,48.47404,-123.3768,105,12:44,13:00,17,18,1,sunny,1,4,Papilionidae,Papilio,rutulus,1,,,,,,
5,24,1,Freya,CHP,48.47404,-123.3768,105,12:44,13:00,17,18,1,sunny,1,4,Lycaenidae,Celestrina,echo,1,,,,,,
5,24,1,Freya,BHT,48.4099,-123.3644,40,15:37,15:49,17,17,1,sunny,1,1,NA,NA,NA,0,,,,,,
5,24,1,Freya,RBG,48.4935,-123.3822,20,14:26,14:37,17,17,1,cloudy,3,3,NA,NA,NA,0,,,,,,
5,27,1,Freya,ABR,49.4194,-129.5247,909,12:30,12:46,18,20,1,sunny,0,1,Nymphalidae,Erebia,epipsodea,5,,,,,,
5,27,1,Freya,ABR,49.4194,-129.5247,909,12:30,12:46,18,20,1,sunny,0,1,Pieridae,NA,NA,2,,,,,,
5,27,1,Freya,ABR,49.4194,-129.5247,909,12:30,12:46,18,20,1,sunny,0,1,Lycaenidae,Icaricia,icaroides,7,,,,,,
5,27,1,Freya,ABR,49.4194,-129.5247,909,12:30,12:46,18,20,1,sunny,0,1,Nymphalidae,Euphydryas,anicia,1,,,,,,
5,27,1,Freya,OHRb,49.4224,-120.2571,568,14:46,15:08,22,22,1,sunny,0,1,Nymphalidae,Euphydryas,anicia,33,,,,,,
5,27,1,Freya,OHRb,49.4224,-120.2571,568,14:46,15:08,22,22,1,sunny,0,1,Nymphalidae,Limenitis,lorquini,2,,,,,,
5,27,1,Freya,OHRb,49.4224,-120.2571,568,14:46,15:08,22,22,1,sunny,0,1,Pieridae,Anthocharis,julia,8,,,,,,
5,27,1,Freya,OHRb,49.4224,-120.2571,568,14:46,15:08,22,22,1,sunny,0,1,Nymphalidae,Erebia,epipsodea,3,,,,,,
5,27,1,Freya,OHRb,49.4224,-120.2571,568,14:46,15:08,22,22,1,sunny,0,1,Pieridae,NA,NA,2,,,,,,
5,27,1,Freya,OHRb,49.4224,-120.2571,568,14:46,15:08,22,22,1,sunny,0,1,Lycaenidae,NA,NA,4,,,,,,
5,27,1,Freya,OHRb,49.4224,-120.2571,568,14:46,15:08,22,22,1,sunny,0,1,Lycaenidae,Callophrys,polios,1,,,,,,
5,27,1,Freya,OHRb,49.4224,-120.2571,568,14:46,15:08,22,22,1,sunny,0,1,Nymphalidae,Coenonnympha,california,2,,,,,,
5,28,1,Freya,KWL,49.3013,-119.6279,571,13:11,13:23,30,31,1,sunny,0,1,Lycaenidae,NA,NA,8,,,,,,
5,28,1,Freya,KWL,49.3013,-119.6279,571,13:11,13:23,30,31,1,sunny,0,1,Hesperiidae,Polites,sabuleti,1,,,,,,
5,28,1,Freya,KWL,49.3013,-119.6279,571,13:11,13:23,30,31,1,sunny,0,1,Lycaenidae,Icaricia,icaroides,2,,,,,,
5,28,1,Freya,KWL,49.3013,-119.6279,571,13:11,13:23,30,31,1,sunny,0,1,Nymphalidae,Coenonnympha,california,1,,,,,,
5,28,1,Freya,RTT,49.0887,-119.5351,287,10:25,10:39,24,26,1,sunny,3,3,Nymphalidae,Aglais,milberti,6,,,,,,
5,28,1,Freya,RTT,49.0887,-119.5351,287,10:25,10:39,24,26,1,sunny,3,3,Nymphalidae,Phyciodes,cocyta,6,,,,,,
5,28,1,Freya,RTT,49.0887,-119.5351,287,10:25,10:39,24,26,1,sunny,3,3,Lycaenidae,NA,NA,1,,,,,,
5,28,1,Freya,RTT,49.0887,-119.5351,287,10:25,10:39,24,26,1,sunny,3,3,Pieridae,Pieris,rapae,1,,,,,,
5,28,1,Freya,RTT,49.0887,-119.5351,287,10:25,10:39,24,26,1,sunny,3,3,Pieridae,Colias,NA,1,,,,,,
5,28,1,Freya,OKF,49.3384,-119.5804,340,14:49,15:02,30,30,1,sunny,2,1,NA,NA,NA,0,,,,,,
5,31,1,Freya,BGP,49.0245,-123.0564,5,11:32,11:43,15,15,1,sunny,2,4,Pieridae,Pieris,rapae,1,,,,,,
5,30,1,Freya,MMF,50.4953,-120.8061,1108,13:28,13:48,13,13,1,partly cloudy,1,2,Nymphalidae,Erebia,epipsodea,2,,,,,,
