month,day,week,observer,transect,quadrat,location_m,side,num_units,floral_unit,unit_size,cover_pct,colour,family,genus,species,infraspecies,origin,nectar,area_cm_2,notes,lookup_helper
5,24,1,Phoebe,CHP,1,12,L,4,head,medium,1,yellow,Asteraceae,Hypochaeris,radicata,NA,Non-native,Y,,,Hypochaeris radicata NA
5,24,1,Phoebe,CHP,1,12,L,34,flr,small,1,purple,Amaryllidaceae,Allium,acuminatum,NA,Native,,,,Allium acuminatum NA
5,24,1,Phoebe,CHP,2,101,L,3,head,medium,1,yellow,Asteraceae,Hypochaeris,radicata,NA,Non-native,Y,,,Hypochaeris radicata NA
5,24,1,Phoebe,CHP,2,101,L,12,flr,small,1,white,Asparagaceae,Triteleia,hyacinthina,NA,Native,,,,Triteleia hyacinthina NA
5,24,1,Phoebe,CHP,3,267,R,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,,NA NA NA
5,24,1,Phoebe,CHP,4,359,L,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,,NA NA NA
5,24,1,Phoebe,CHP,5,417,R,36,flr,small,1,white,Apiaceae,Osmorhiza,berteroi,NA,Native,,,,Osmorhiza berteroi NA
5,24,1,Phoebe,RBG,1,5,L,7,infl,small,1,yellow,Fabaceae,Medicago,lupulina,NA,Non-native,,,,Medicago lupulina NA
5,24,1,Phoebe,RBG,2,115,L,2,flr,small,1,purple,Geraniaceae,Geranium,dissectum,NA,Non-native,,,,Geranium dissectum NA
5,24,1,Phoebe,RBG,3,237,L,18,head,medium,2,white,Fabaceae,Trifolium,repens,NA,Non-native,Y,,,Trifolium repens NA
5,24,1,Phoebe,RBG,4,378,R,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,,NA NA NA
5,24,1,Phoebe,RBG,5,460,R,2,flr,medium,1,yellow,Ranunculaceae,Ranunculus,repens,NA,Non-native,Y,,,Ranunculus repens NA
5,24,1,Phoebe,RBG,5,460,R,1,flr,small,1,purple,Fabaceae,Vicia,sativa,NA,Non-native,,,,Vicia sativa NA
5,24,1,Phoebe,BHT,1,40,L,6,infl,small,1,yellow,Apiaceae,Sanicula,crassicaulis,NA,Native,,,,Sanicula crassicaulis NA
5,24,1,Phoebe,BHT,2,184,R,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,,NA NA NA
5,24,1,Phoebe,BHT,3,268,R,3,infl,medium,1,yellow,Apiaceae,Lomatium,utriculatum,NA,Native,,,,Lomatium utriculatum NA
5,24,1,Phoebe,BHT,4,310,R,110,infl,medium,4,yellow,Apiaceae,Lomatium,nudicaule,NA,Native,,,,Lomatium nudicaule NA
5,24,1,Phoebe,BHT,5,459,L,45,infl,medium,2,yellow,Apiaceae,Lomatium,nudicaule,NA,Native,,,,Lomatium nudicaule NA
5,24,1,Phoebe,BHT,5,459,L,70,flr,small,2,yellow,Orobanchaceae,Rhinanthus,minor,NA,Native,,,,Rhinanthus minor NA
5,24,1,Phoebe,HRP,1,77,R,12,flr,small,1,white,Primulaceae ,Lysimachia,latifolia,NA,Native,,,,Lysimachia latifolia NA
5,24,1,Phoebe,HRP,2,107,L,4,flr,small,1,white,Primulaceae ,Lysimachia,latifolia,NA,Native,,,,Lysimachia latifolia NA
5,24,1,Phoebe,HRP,2,107,L,2,flr,medium,1,white,Rosaceae,Rubus,ursinus,NA,Native,,,,Rubus ursinus NA
5,24,1,Phoebe,HRP,3,269,R,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,,NA NA NA
5,26,1,Phoebe,MGT,1,30,L,111,flr,medium,2,purple,Polemoniaceae ,Phlox,diffusa,NA,Native,,,,Phlox diffusa NA
5,26,1,Phoebe,MGT,2,103,L,4,flr,medium,1,white,Rosaceae,Fragaria,virginiana,NA,Native,,,,Fragaria virginiana NA
5,26,1,Phoebe,CCM,1,63,L,101,flr,small,5,yellow,Ranunculaceae,Ranunculus,repens,NA,Non-native,Y,,,Ranunculus repens NA
5,26,1,Phoebe,CCM,2,127,R,2,flr,small,1,yellow,Ranunculaceae,Ranunculus,repens,NA,Non-native,Y,,,Ranunculus repens NA
5,26,1,Phoebe,CCM,2,127,R,55,stm,medium,2,yellow,Brassicaceae,Sisymbrium,officinale,NA,Non-native,Y,,,Sisymbrium officinale NA
5,26,1,Phoebe,CCM,2,127,R,10,infl,small,1,blue,Boraginaceae ,Myosotis,arvensis,NA,Non-native,Y,,? Maybe sylvatica?,Myosotis arvensis NA
5,26,1,Phoebe,CCM,2,127,R,7,flr,small,1,purple,Geraniaceae,Geranium,dissectum,NA,Non-native,,,,Geranium dissectum NA
5,26,1,Phoebe,CCM,3,255,L,12,head,small,2,white,Asteraceae,Leucanthemum,vulgare,NA,Non-native,Y,,,Leucanthemum vulgare NA
5,26,1,Phoebe,CCM,3,255,L,8,infl,small,1,yellow,Fabaceae,Trifolium,dubium,NA,Non-native,,,,Trifolium dubium NA
5,26,1,Phoebe,CCM,3,255,L,1,flr,small,1,purple,Geraniaceae,Geranium,dissectum,NA,Non-native,,,,Geranium dissectum NA
5,26,1,Phoebe,CCM,4,388,R,203,flr,small,5,yellow,Ranunculaceae,Ranunculus,repens,NA,Non-native,Y,,,Ranunculus repens NA
5,26,1,Phoebe,CCM,5,472,R,32,flr,small,1,yellow,Ranunculaceae,Ranunculus,repens,NA,Non-native,Y,,,Ranunculus repens NA
5,26,1,Phoebe,CCM,5,472,R,17,infl,small,1,white,Brassicaceae,Lepidium,campestre,NA,Non-native,,,,Lepidium campestre NA
5,27,1,Phoebe,ABR,1,86,R,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,,NA NA NA
5,27,1,Phoebe,ABR,2,170,R,3,infl,large,2,purple,Fabaceae,Lupinus,sericeus,NA,Native,,,,Lupinus sericeus NA
