month,day,week,transect,photo_id,activity,butterfly_family,butterfly_genus,butterfly_species,flower_type,flower_colour,flower_family,flower_genus,flower_species,flower_origin
5,24,1,CHP,05_24_CHP_1,nectaring,Lycaenidae,Celastrina,echo,shrub,pink,Caprifoliaceae,Symphoricarpos,albus,Native
5,27,1,ABR,05_27_ABR_1,nectaring,Lycaenidae,Icaricia,icarioides,flower,purple,Fabaceae,Lupinus,sericeus,Native
5,27,1,OHRb,05_27_OHRb_1,nectaring,Lycaenidae,Plebejus,melissa,flower,pink,Fabaceae,Astragalus,miser,Native
5,27,1,OHRb,05_27_OHRb_2,nectaring,Pieridae,Anthocharis,julia,flower,pink,Fabaceae,Astragalus,miser,Native
5,27,1,OHRb,05_27_OHRb_3,nectaring,Lycaenidae,Everes,amyntula,flower,pink,Fabaceae,Astragalus,miser,Native
5,27,1,OHRb,05_27_OHRb_4,nectaring,Nymphalidae,Coenonympha,california,shrub,white,Rhamnaceae,Ceanothus,velutinus,Native
5,27,1,OHRb,05_27_OHRb_5,nectaring,Nymphalidae,Erebia,epipsodea,shrub,white,Rhamnaceae,Ceanothus,velutinus,Native
5,27,1,OHRb,05_27_OHRb_6,nectaring,Lycaenidae,Callophrys,augustinus,shrub,white,Rhamnaceae,Ceanothus,velutinus,Native
5,28,1,RTT,05_28_RTT_1,nectaring,Nymphalidae,Phycoides,NA,flower,white,Brassicaceae,Berteroa,incana,Non-native
5,28,1,RTT,05_28_RTT_2,nectaring,Nymphalidae,Aglais,milberti,flower,white,Brassicaceae,Berteroa,incana,Non-native
5,28,1,RTT,05_28_RTT_3,nectaring,Lycaenidae,Tharsalea,helloides,flower,white,Brassicaceae,Berteroa,incana,Non-native
5,28,1,RTT,05_28_RTT_4,nectaring,Nymphalidae,Phycoides,cocyta,flower,white,Brassicaceae,Berteroa,incana,Non-native
5,28,1,KWL,05_28_KWL_1,nectaring,lycaenidae,Glaucopsyche,lygdamus,flower,purple,Fabaceae,Medicago,sativa,Non-native
5,28,1,KWL,05_28_KWL_2,nectaring,Pieridae,Euchloe,ausonides,flower,yellow,Brassicaceae,Sisymbrium,altissimum,Non-native
5,28,1,KWL,05_28_KWL_3,nectaring,Hesperiidae,Polites,sabuleti,flower,yellow,Brassicaceae,Sisymbrium,loeselii,Non-native
5,28,1,KWL,05_28_KWL_4,nectaring,Pieridae,Euchloe,ausonides,flower,yellow,Brassicaceae,Sisymbrium,loeselii,Non-native
5,28,1,KWL,05_28_KWL_5,nectaring,Hesperiidae,Polites,sabuleti,flower,yellow,Brassicaceae,Sisymbrium,loeselii,Non-native
5,28,1,KWL,05_28_KWL_6,nectaring,Pieridae,Colias,NA,flower,yellow,Brassicaceae,Sisymbrium,loeselii,Non-native
5,28,1,KWL,05_28_KWL_7,nectaring,Nymphalidae,Euphydryas,anicia,flower,yellow,Brassicaceae,Sisymbrium,loeselii,Non-native
5,28,1,KWL,05_28_KWL_8,nectaring,Pieridae,Euchloe,ausonides,flower,white,Brassicaceae,Lepidium,NA,Non-native
5,28,1,KWL,05_28_KWL_9,nectaring,Hesperiidae,Polites,sabuleti,flower,purple,Fabaceae,Medicago,sativa,Non-native
5,28,1,OKF,05_28_OKF_1,nectaring,Lycaenidae,Glaucopsyche,lygdamus,flower,purple,Fabaceae,Medicago,sativa,Non-native
5,30,1,PSL,05_30_PSL_1,nectaring,hesperiidae,Amblyscirtes,vialis,flower,purple,Fabaceae,Medicago,sativa,Non-native
5,30,1,PSL,05_30_PSL_2,ovipositing,Lycaenidae,Glaucopsyche,lygdamus,flower,purple,Fabaceae,Medicago,sativa,Non-native
5,30,1,KPP,05_30_KPP_2,nectaring,Pieridae,Pontia,occidentalis,flower,purple,Fabaceae,Medicago,sativa,Non-native
5,30,1,KPP,05_30_KPP_3,nectaring,Pieridae,Pontia,occidentalis,flower,purple,Fabaceae,Medicago,sativa,Non-native
5,30,1,KPP,05_30_KPP_4,nectaring,Pieridae,Pontia,beckerii,flower,purple,Fabaceae,Medicago,sativa,Non-native
5,30,1,KPP,05_30_KPP_5,nectaring,Lycaenidae,NA,NA,flower,white,Asteraceae,Antennaria,anaphaloides,Native
5,30,1,KPP,05_30_KPP_6,nectaring,Hesperiidae,Erynnis,icelus,flower,purple,Plantaginaceae,Penstemon,procerus,Native
6,7,2,UBC,06_07_UBC_1,nectaring,Nymphalidae,Vanessa,atalanta,flower,pink,Apocynaceae,Apocynum,androsaemifolium,Native
6,8,2,RTT,06_08_RTT_1,nectaring,Nymphalidae,Aglais,milberti,flower,white,Brassicaceae,Berteroa,incana,Non-native
6,8,2,KWL,06_08_KWL_1,nectaring,Nymphalidae,Phycoides,cocyta,flower,yellow,Fabaceae,Medicago,lupulina,Non-native
6,8,2,KWL,06_08_KWL_2,nectaring,Lycaenidae,Glaucopsyche,lygdamus,flower,white,Asteraceae,Erigeron,NA,Native
6,8,2,KWL,06_08_KWL_3,nectaring,Hesperiidae,Pholisora,catullus,flower,purple,Fabaceae,Medicago,sativa,Non-native
6,8,2,KWL,06_08_KWL_4,nectaring,Hesperiidae,Polites,sabuleti,flower,purple,Fabaceae,Medicago,sativa,Non-native
6,8,2,PML,06_08_PML_1,nectaring,Papilionidae,Papilio,rutulus,flower,purple,Fabaceae,Medicago,sativa,Non-native
6,8,2,PML,06_08_PML_2,nectaring,Papilionidae,Papilio,rutulus,flower,purple,Fabaceae,Medicago,sativa,Non-native
6,9,2,OKF,06_09_OKF_1,nectaring,Pieridae,Pieris,rapae,flower,purple,Fabaceae,Medicago,sativa,Non-native
6,9,2,OKF,06_09_OKF_2,ovipositing,Hesperiidae,Pholisora,catullus,flower,NA,Amaranthaceae,Chenopodium,NA,NA
6,9,2,OKF,06_09_OKF_3,ovipositing,Hesperiidae,Pholisora,catullus,flower,NA,Amaranthaceae,Chenopodium,NA,NA
6,9,2,OKF,06_09_OKF_4,nectaring,Pieridae,Pieris,rapae,flower,purple,Fabaceae,Medicago,sativa,Non-native
6,9,2,OKF,06_09_OKF_5,nectaring,Papilionidae,Papilio,rutulus,flower,purple,Fabaceae,Medicago,sativa,Non-native
6,10,2,PSL,06_10_PSL_1,nectaring,Lycaenidae,Glaucopsyche,lygdamus,flower,purple,Fabaceae,Medicago,sativa,Non-native
6,11,2,OHR,06_11_OHR_1,nectaring,Nymphalidae,Limenitis,lorquini,flower,pink,Apocynaceae,Apocynum,androsaemifolium,Native
6,11,2,OHR,06_11_OHR_2,nectaring,Nymphalidae,Limenitis,lorquini,flower,pink,Apocynaceae,Apocynum,androsaemifolium,Native
